Name;Surname;SID;GPA;Grade;Credits;email;password;SFID;Major
Chauncey;Marilou;44262;3.62;2;52;cmarilou@du.edu.tr;CM44262;2;Chemical and Biological Engineering 
Chaya;Marilu;44263;3.6;3;82;cmarilu@du.edu.tr;CM44263;2;Chemical and Biological Engineering 
Chelsea;Marilyn;44264;3.79;3;104;cmarilyn@du.edu.tr;CM44264;0;Chemistry
Chelsey;Marilynn;44265;2.63;4;107;cmarilynn@du.edu.tr;CM44265;0;Mathematics
Chelsie;Marin;44266;3.78;3;99;cmarin@du.edu.tr;CM44266;3;Law
Cher;Marina;44267;2.38;4;108;cmarina@du.edu.tr;CM44267;3;Law
Chere;Marinda;44268;2.44;4;113;cmarinda@du.edu.tr;CM44268;0;Physics
Cheree;Marine;44269;1.02;2;52;cmarine@du.edu.tr;CM44269;0;Physics
Cherelle;Mario;44270;1.99;1;19;cmario@du.edu.tr;CM44270;2;Electrical and Electronics Engineering
Cheri;Marion;44271;2.29;2;47;cmarion@du.edu.tr;CM44271;4;History
Cherie;Maris;44272;2.57;1;8;cmaris@du.edu.tr;CM44272;3;Law
Cherilyn;Marisa;44273;1.2;3;94;cmarisa@du.edu.tr;CM44273;2;Mechanical Engineering
Cherise;Marisela;44274;1.29;2;49;cmarisela@du.edu.tr;CM44274;3;Law
Cherish;Marisha;44275;1.37;1;10;cmarisha@du.edu.tr;CM44275;0;Molecular Biology and Genetics
Cherly;Marisol;44276;3.41;2;43;cmarisol@du.edu.tr;CM44276;1;Business Administration
Cherlyn;Marissa;44277;2.45;2;46;cmarissa@du.edu.tr;CM44277;0;Molecular Biology and Genetics
Cherri;Marita;44278;3;3;82;cmarita@du.edu.tr;CM44278;4;Media and Visual Arts
Cherrie;Maritza;44279;1.57;4;117;cmaritza@du.edu.tr;CM44279;3;Law
Cherry;Marivel;44280;3.62;4;115;cmarivel@du.edu.tr;CM44280;0;Physics
Cherryl;Marjorie;44281;1;3;105;cmarjorie@du.edu.tr;CM44281;0;Chemistry
Chery;Marjory;44282;3.28;2;58;cmarjory@du.edu.tr;CM44282;1;Business Administration
Cheryl;Mark;44283;3.02;2;69;cmark@du.edu.tr;CM44283;1;International Relations
Cheryle;Marketta;44284;2.39;1;13;cmarketta@du.edu.tr;CM44284;0;Molecular Biology and Genetics
Cheryll;Markita;44285;1.91;2;62;cmarkita@du.edu.tr;CM44285;3;Law
Chester;Markus;44286;1;2;51;cmarkus@du.edu.tr;CM44286;2;Electrical and Electronics Engineering
Chet;Marla;44287;1.92;4;109;cmarla@du.edu.tr;CM44287;3;Law
Cheyenne;Marlana;44288;1.76;2;48;cmarlana@du.edu.tr;CM44288;0;Physics
Chi;Marleen;44289;2.34;2;41;cmarleen@du.edu.tr;CM44289;3;Law
Chia;Marlen;44290;2.03;4;107;cmarlen@du.edu.tr;CM44290;2;Computer Engineering
Chieko;Marlena;44291;1.03;3;85;cmarlena@du.edu.tr;CM44291;1;International Relations
Chin;Marlene;44292;3.22;1;4;cmarlene@du.edu.tr;CM44292;3;Law
China;Marlin;44293;1.39;4;138;cmarlin@du.edu.tr;CM44293;4;Philosophy
Ching;Marline;44294;1.87;1;7;cmarline@du.edu.tr;CM44294;3;Law
Chiquita;Marlo;44295;3.5;4;107;cmarlo@du.edu.tr;CM44295;3;Law
Chloe;Marlon;44296;3.87;2;52;cmarlon@du.edu.tr;CM44296;1;Economy
Chong;Marlyn;44297;2.83;1;11;cmarlyn@du.edu.tr;CM44297;0;Mathematics
Chris;Marlys;44298;2.99;1;7;cmarlys@du.edu.tr;CM44298;3;Law
Chrissy;Marna;44299;2.23;4;137;cmarna@du.edu.tr;CM44299;4;Sociology
Christa;Marni;44300;3.16;1;29;cmarni@du.edu.tr;CM44300;3;Law
Christal;Marnie;44301;3.86;3;84;cmarnie@du.edu.tr;CM44301;4;Sociology
Christeen;Marquerite;44302;3.32;4;115;cmarquerite@du.edu.tr;CM44302;2;Computer Engineering
Christel;Marquetta;44303;1.99;1;32;cmarquetta@du.edu.tr;CM44303;0;Mathematics
Christen;Marquis;44304;3.05;1;16;cmarquis@du.edu.tr;CM44304;3;Law
Christena;Marquita;44305;1.62;4;114;cmarquita@du.edu.tr;CM44305;2;Electrical and Electronics Engineering
Christene;Marquitta;44306;1.98;4;122;cmarquitta@du.edu.tr;CM44306;4;Media and Visual Arts
Christi;Marry;44307;1.82;3;80;cmarry@du.edu.tr;CM44307;2;Chemical and Biological Engineering 
Christia;Marsha;44308;3.83;4;133;cmarsha@du.edu.tr;CM44308;1;Economy
Christian;Marshall;44309;2.44;1;26;cmarshall@du.edu.tr;CM44309;4;Comparative Literature
Christiana;Marta;44310;3.21;4;108;cmarta@du.edu.tr;CM44310;0;Physics
Christiane;Marth;44311;3.48;2;53;cmarth@du.edu.tr;CM44311;1;International Relations
Christie;Martha;44312;3.62;1;25;cmartha@du.edu.tr;CM44312;2;Mechanical Engineering
Christin;Marti;44313;1.87;3;105;cmarti@du.edu.tr;CM44313;1;International Relations
Christina;Martin;44314;3.69;3;102;cmartin@du.edu.tr;CM44314;0;Mathematics
Christine;Martina;44315;3.68;4;125;cmartina@du.edu.tr;CM44315;1;International Relations
Christinia;Martine;44316;3.77;3;79;cmartine@du.edu.tr;CM44316;2;Chemical and Biological Engineering 
Christoper;Marty;44317;3.53;3;77;cmarty@du.edu.tr;CM44317;4;Psychology
Christopher;Marva;44318;3.57;3;92;cmarva@du.edu.tr;CM44318;0;Physics
Christy;Marvel;44319;2.39;4;133;cmarvel@du.edu.tr;CM44319;1;International Relations
Chrystal;Marvella;44320;3.42;1;32;cmarvella@du.edu.tr;CM44320;0;Chemistry
Chu;Marvin;44321;3.71;4;118;cmarvin@du.edu.tr;CM44321;2;Electrical and Electronics Engineering
Chuck;Marvis;44322;2.61;2;60;cmarvis@du.edu.tr;CM44322;2;Electrical and Electronics Engineering
Chun;Marx;44323;2.41;2;55;cmarx@du.edu.tr;CM44323;2;Mechanical Engineering
Chung;Mary;44324;2.94;4;132;cmary@du.edu.tr;CM44324;0;Physics
Ciara;Marya;44325;3.71;2;49;cmarya@du.edu.tr;CM44325;4;Archaeology and History of Art
Cicely;Maryalice;44326;2.71;3;95;cmaryalice@du.edu.tr;CM44326;4;Psychology
Ciera;Maryam;44327;3.42;1;1;cmaryam@du.edu.tr;CM44327;3;Law
Cierra;Maryann;44328;1.86;2;55;cmaryann@du.edu.tr;CM44328;1;Economy
Cinda;Maryanna;44329;3.54;2;65;cmaryanna@du.edu.tr;CM44329;3;Law
Cinderella;Maryanne;44330;2.02;4;122;cmaryanne@du.edu.tr;CM44330;0;Molecular Biology and Genetics
Cindi;Marybelle;44331;1.05;1;25;cmarybelle@du.edu.tr;CM44331;2;Chemical and Biological Engineering 
Cindie;Marybeth;44332;3.95;1;1;cmarybeth@du.edu.tr;CM44332;1;Business Administration
Cindy;Maryellen;44333;3.17;4;124;cmaryellen@du.edu.tr;CM44333;1;International Relations
Cinthia;Maryetta;44334;2.76;1;35;cmaryetta@du.edu.tr;CM44334;1;Business Administration
Cira;Maryjane;44335;2.29;4;135;cmaryjane@du.edu.tr;CM44335;3;Law
Clair;Maryjo;44336;2.29;2;45;cmaryjo@du.edu.tr;CM44336;4;Media and Visual Arts
Claire;Maryland;44337;1.02;2;50;cmaryland@du.edu.tr;CM44337;0;Mathematics
Clara;Marylee;44338;1.61;2;53;cmarylee@du.edu.tr;CM44338;4;Sociology
Clare;Marylin;44339;1.44;3;77;cmarylin@du.edu.tr;CM44339;1;International Relations
Clarence;Maryln;44340;3.64;3;92;cmaryln@du.edu.tr;CM44340;4;Archaeology and History of Art
Claretha;Marylou;44341;2.48;2;44;cmarylou@du.edu.tr;CM44341;0;Chemistry
Claretta;Marylouise;44342;2.72;1;5;cmarylouise@du.edu.tr;CM44342;4;Sociology
Claribel;Marylyn;44343;1.19;3;97;cmarylyn@du.edu.tr;CM44343;3;Law
Clarice;Marylynn;44344;3.8;2;67;cmarylynn@du.edu.tr;CM44344;4;Media and Visual Arts
Clarinda;Maryrose;44345;2.83;4;107;cmaryrose@du.edu.tr;CM44345;4;Philosophy
Clarine;Masako;44346;3.63;3;79;cmasako@du.edu.tr;CM44346;2;Electrical and Electronics Engineering
Claris;Mason;44347;2.22;3;84;cmason@du.edu.tr;CM44347;4;Psychology
Clarisa;Matha;44348;1;2;37;cmatha@du.edu.tr;CM44348;1;Economy
Clarissa;Mathew;44349;1.92;2;36;cmathew@du.edu.tr;CM44349;2;Chemical and Biological Engineering 
Clarita;Mathilda;44350;2.35;2;53;cmathilda@du.edu.tr;CM44350;1;Economy
Clark;Mathilde;44351;1.93;1;4;cmathilde@du.edu.tr;CM44351;2;Mechanical Engineering
Classie;Matilda;44352;3.93;1;21;cmatilda@du.edu.tr;CM44352;2;Electrical and Electronics Engineering
Claud;Matilde;44353;2.9;4;110;cmatilde@du.edu.tr;CM44353;0;Chemistry
Claude;Matt;44354;1.07;1;25;cmatt@du.edu.tr;CM44354;2;Chemical and Biological Engineering 
Claudette;Matthew;44355;3.73;2;59;cmatthew@du.edu.tr;CM44355;3;Law
Claudia;Mattie;44356;2.52;2;59;cmattie@du.edu.tr;CM44356;0;Physics
Claudie;Maud;44357;2.88;1;18;cmaud@du.edu.tr;CM44357;2;Electrical and Electronics Engineering
Claudine;Maude;44358;3.85;2;63;cmaude@du.edu.tr;CM44358;4;Comparative Literature
Claudio;Maudie;44359;1.75;3;84;cmaudie@du.edu.tr;CM44359;0;Physics
Clay;Maura;44360;3.23;1;29;cmaura@du.edu.tr;CM44360;3;Law
Clayton;Maureen;44361;3.57;4;122;cmaureen@du.edu.tr;CM44361;3;Law
Clelia;Maurice;44362;3.02;1;6;cmaurice@du.edu.tr;CM44362;3;Law
Clemencia;Mauricio;44363;3.8;2;46;cmauricio@du.edu.tr;CM44363;0;Chemistry
Clement;Maurine;44364;2.95;2;36;cmaurine@du.edu.tr;CM44364;3;Law
Clemente;Maurita;44365;2.64;2;45;cmaurita@du.edu.tr;CM44365;2;Electrical and Electronics Engineering
Clementina;Mauro;44366;2.67;3;95;cmauro@du.edu.tr;CM44366;0;Physics
Clementine;Mavis;44367;3.45;3;71;cmavis@du.edu.tr;CM44367;0;Physics
Clemmie;Max;44368;2.97;3;72;cmax@du.edu.tr;CM44368;3;Law
Cleo;Maxie;44369;1.67;1;6;cmaxie@du.edu.tr;CM44369;2;Industrial Engineering
Cleopatra;Maxima;44370;2.45;4;108;cmaxima@du.edu.tr;CM44370;3;Law
Cleora;Maximina;44371;3.44;2;69;cmaximina@du.edu.tr;CM44371;3;Law
Cleotilde;Maximo;44372;1.17;2;51;cmaximo@du.edu.tr;CM44372;2;Electrical and Electronics Engineering
Cleta;Maxine;44373;3.37;3;78;cmaxine@du.edu.tr;CM44373;4;Media and Visual Arts
Cletus;Maxwell;44374;3.21;1;30;cmaxwell@du.edu.tr;CM44374;2;Electrical and Electronics Engineering
Cleveland;May;44375;1.24;1;4;cmay@du.edu.tr;CM44375;3;Law
Cliff;Maya;44376;2.89;3;86;cmaya@du.edu.tr;CM44376;1;International Relations
Clifford;Maybell;44377;1.35;1;13;cmaybell@du.edu.tr;CM44377;4;Sociology
Clifton;Maybelle;44378;1.26;2;39;cmaybelle@du.edu.tr;CM44378;4;Comparative Literature
Clint;Maye;44379;3.91;3;91;cmaye@du.edu.tr;CM44379;1;Economy
Clinton;Mayme;44380;2.44;4;124;cmayme@du.edu.tr;CM44380;4;Archaeology and History of Art
Clora;Maynard;44381;3.02;3;79;cmaynard@du.edu.tr;CM44381;2;Electrical and Electronics Engineering
Clorinda;Mayola;44382;3;4;140;cmayola@du.edu.tr;CM44382;2;Electrical and Electronics Engineering
Clotilde;Mayra;44383;3.8;3;99;cmayra@du.edu.tr;CM44383;3;Law
Clyde;Mazie;44384;1.05;3;103;cmazie@du.edu.tr;CM44384;4;History
Codi;Mckenzie;44385;3.65;3;80;cmckenzie@du.edu.tr;CM44385;4;Comparative Literature
Cody;Mckinley;44386;1.39;4;130;cmckinley@du.edu.tr;CM44386;4;Archaeology and History of Art
Colby;Meagan;44387;3.39;2;43;cmeagan@du.edu.tr;CM44387;1;International Relations
Cole;Meaghan;44388;3.3;4;120;cmeaghan@du.edu.tr;CM44388;2;Electrical and Electronics Engineering
Coleen;Mechelle;44389;2.97;3;90;cmechelle@du.edu.tr;CM44389;2;Industrial Engineering
Coleman;Meda;44390;3.38;3;79;cmeda@du.edu.tr;CM44390;1;International Relations
Colene;Mee;44391;1.99;4;130;cmee@du.edu.tr;CM44391;1;Business Administration
Coletta;Meg;44392;3.78;1;14;cmeg@du.edu.tr;CM44392;1;Business Administration
Colette;Megan;44393;3.46;1;6;cmegan@du.edu.tr;CM44393;0;Mathematics
Colin;Meggan;44394;2.13;1;22;cmeggan@du.edu.tr;CM44394;4;Comparative Literature
Colleen;Meghan;44395;2.56;4;111;cmeghan@du.edu.tr;CM44395;0;Chemistry
Collen;Meghann;44396;2.26;2;46;cmeghann@du.edu.tr;CM44396;4;Philosophy
Collene;Mei;44397;1.48;1;7;cmei@du.edu.tr;CM44397;1;International Relations
Collette;Mel;44398;2.33;1;26;cmel@du.edu.tr;CM44398;1;Economy
Collin;Melaine;44399;2.67;1;4;cmelaine@du.edu.tr;CM44399;1;Business Administration
Colton;Melani;44400;3.61;1;5;cmelani@du.edu.tr;CM44400;1;International Relations
Columbus;Melania;44401;2.4;4;123;cmelania@du.edu.tr;CM44401;0;Molecular Biology and Genetics
Concepcion;Melanie;44402;3.72;4;134;cmelanie@du.edu.tr;CM44402;1;Economy
Conception;Melany;44403;2.12;2;42;cmelany@du.edu.tr;CM44403;2;Electrical and Electronics Engineering
Concetta;Melba;44404;1.49;1;27;cmelba@du.edu.tr;CM44404;2;Mechanical Engineering
Concha;Melda;44405;2.02;1;20;cmelda@du.edu.tr;CM44405;3;Law
Conchita;Melia;44406;1.15;1;20;cmelia@du.edu.tr;CM44406;4;Psychology
Connie;Melida;44407;3.43;1;33;cmelida@du.edu.tr;CM44407;3;Law
Conrad;Melina;44408;2.31;2;61;cmelina@du.edu.tr;CM44408;0;Chemistry
Constance;Melinda;44409;2.13;3;90;cmelinda@du.edu.tr;CM44409;1;Business Administration
Consuela;Melisa;44410;2.91;1;35;cmelisa@du.edu.tr;CM44410;2;Industrial Engineering
Consuelo;Melissa;44411;2.6;3;73;cmelissa@du.edu.tr;CM44411;2;Electrical and Electronics Engineering
Contessa;Melissia;44412;3.81;4;112;cmelissia@du.edu.tr;CM44412;1;Economy
Cora;Melita;44413;3.26;1;22;cmelita@du.edu.tr;CM44413;3;Law
Coral;Mellie;44414;3.94;4;119;cmellie@du.edu.tr;CM44414;1;International Relations
Coralee;Mellisa;44415;2.24;4;128;cmellisa@du.edu.tr;CM44415;3;Law
Coralie;Mellissa;44416;2.84;1;16;cmellissa@du.edu.tr;CM44416;3;Law
Corazon;Melodee;44417;3.73;2;68;cmelodee@du.edu.tr;CM44417;0;Molecular Biology and Genetics
Cordelia;Melodi;44418;2.38;2;64;cmelodi@du.edu.tr;CM44418;4;Comparative Literature
Cordell;Melodie;44419;3.9;2;38;cmelodie@du.edu.tr;CM44419;0;Physics
Cordia;Melody;44420;1.88;1;2;cmelody@du.edu.tr;CM44420;0;Mathematics
Cordie;Melonie;44421;1.66;4;117;cmelonie@du.edu.tr;CM44421;1;International Relations
Coreen;Melony;44422;1.24;3;95;cmelony@du.edu.tr;CM44422;3;Law
Corene;Melva;44423;2.16;3;84;cmelva@du.edu.tr;CM44423;0;Physics
Coretta;Melvin;44424;3.7;3;97;cmelvin@du.edu.tr;CM44424;1;Economy
Corey;Melvina;44425;2.94;2;56;cmelvina@du.edu.tr;CM44425;3;Law
Cori;Melynda;44426;2.65;1;16;cmelynda@du.edu.tr;CM44426;2;Computer Engineering
Corie;Mendy;44427;3.75;4;115;cmendy@du.edu.tr;CM44427;1;Business Administration
Corina;Mercedes;44428;3.41;3;85;cmercedes@du.edu.tr;CM44428;3;Law
Corine;Mercedez;44429;1.14;2;69;cmercedez@du.edu.tr;CM44429;4;Comparative Literature
Corinna;Mercy;44430;2.18;2;37;cmercy@du.edu.tr;CM44430;0;Physics
Corinne;Meredith;44431;3.51;2;37;cmeredith@du.edu.tr;CM44431;4;Psychology
Corliss;Meri;44432;3.63;3;98;cmeri@du.edu.tr;CM44432;4;Comparative Literature
Cornelia;Merideth;44433;3.67;2;42;cmerideth@du.edu.tr;CM44433;3;Law
Cornelius;Meridith;44434;3.57;2;42;cmeridith@du.edu.tr;CM44434;3;Law
Cornell;Merilyn;44435;3.12;1;28;cmerilyn@du.edu.tr;CM44435;4;History
Corrie;Merissa;44436;1.17;1;34;cmerissa@du.edu.tr;CM44436;4;Comparative Literature
Corrin;Merle;44437;3.45;4;122;cmerle@du.edu.tr;CM44437;2;Industrial Engineering
Corrina;Merlene;44438;2.92;4;117;cmerlene@du.edu.tr;CM44438;0;Physics
Corrine;Merlin;44439;3.09;2;64;cmerlin@du.edu.tr;CM44439;0;Molecular Biology and Genetics
Corrinne;Merlyn;44440;1.27;3;81;cmerlyn@du.edu.tr;CM44440;1;Economy
Cortez;Merna;44441;3.55;4;125;cmerna@du.edu.tr;CM44441;4;Archaeology and History of Art
Cortney;Merri;44442;3.28;4;111;cmerri@du.edu.tr;CM44442;3;Law
Cory;Merrie;44443;2.72;3;79;cmerrie@du.edu.tr;CM44443;1;Business Administration
Courtney;Merrilee;44444;2.05;2;60;cmerrilee@du.edu.tr;CM44444;4;Sociology
Coy;Merrill;44445;2.01;1;34;cmerrill@du.edu.tr;CM44445;3;Law
Craig;Merry;44446;3.09;3;74;cmerry@du.edu.tr;CM44446;2;Mechanical Engineering
Creola;Mertie;44447;1.03;4;136;cmertie@du.edu.tr;CM44447;4;Sociology
Cris;Mervin;44448;1.4;4;139;cmervin@du.edu.tr;CM44448;2;Electrical and Electronics Engineering
Criselda;Meryl;44449;3.06;2;64;cmeryl@du.edu.tr;CM44449;0;Chemistry
Crissy;Meta;44450;1.85;3;85;cmeta@du.edu.tr;CM44450;4;History
Crista;Mi;44451;2.04;1;13;cmi@du.edu.tr;CM44451;1;Economy
Cristal;Mia;44452;3.62;4;120;cmia@du.edu.tr;CM44452;3;Law
Cristen;Mica;44453;3.44;1;31;cmica@du.edu.tr;CM44453;2;Chemical and Biological Engineering 
Cristi;Micaela;44454;3.75;4;110;cmicaela@du.edu.tr;CM44454;2;Computer Engineering
Cristie;Micah;44455;1.42;4;121;cmicah@du.edu.tr;CM44455;1;Business Administration
Cristin;Micha;44456;2.24;1;5;cmicha@du.edu.tr;CM44456;3;Law
Cristina;Michael;44457;3.39;2;54;cmichael@du.edu.tr;CM44457;3;Law
Cristine;Michaela;44458;1.22;1;21;cmichaela@du.edu.tr;CM44458;2;Mechanical Engineering
Cristobal;Michaele;44459;3.68;1;15;cmichaele@du.edu.tr;CM44459;3;Law
Cristopher;Michal;44460;2.51;4;131;cmichal@du.edu.tr;CM44460;3;Law
Cristy;Michale;44461;1.35;4;135;cmichale@du.edu.tr;CM44461;2;Electrical and Electronics Engineering
Cruz;Micheal;44462;2.7;2;66;cmicheal@du.edu.tr;CM44462;4;Sociology
Crysta;Michel;44463;2.64;3;83;cmichel@du.edu.tr;CM44463;0;Physics
Crystal;Michele;44464;2.17;1;18;cmichele@du.edu.tr;CM44464;1;Business Administration
Crystle;Michelina;44465;1.63;2;69;cmichelina@du.edu.tr;CM44465;3;Law
Cuc;Micheline;44466;3.09;3;74;cmicheline@du.edu.tr;CM44466;0;Mathematics
Curt;Michell;44467;2.9;2;52;cmichell@du.edu.tr;CM44467;0;Mathematics
Curtis;Michelle;44468;1.48;4;139;cmichelle@du.edu.tr;CM44468;3;Law
Cyndi;Michiko;44469;1.71;3;86;cmichiko@du.edu.tr;CM44469;4;Sociology
Cyndy;Mickey;44470;2.59;4;134;cmickey@du.edu.tr;CM44470;0;Chemistry
Cynthia;Micki;44471;3.35;3;87;cmicki@du.edu.tr;CM44471;4;Comparative Literature
Cyril;Mickie;44472;1.31;4;106;cmickie@du.edu.tr;CM44472;4;Media and Visual Arts
Cyrstal;Miesha;44473;3.97;2;69;cmiesha@du.edu.tr;CM44473;1;Business Administration
Cyrus;Migdalia;44474;1.82;4;107;cmigdalia@du.edu.tr;CM44474;2;Industrial Engineering
Cythia;Mignon;44475;2.55;3;77;cmignon@du.edu.tr;CM44475;1;Economy
Dacia;Miguel;44476;3.34;3;85;dmiguel@du.edu.tr;DM44476;3;Law
Dagmar;Miguelina;44477;3.75;1;25;dmiguelina@du.edu.tr;DM44477;0;Physics
Dagny;Mika;44478;1.77;3;105;dmika@du.edu.tr;DM44478;1;Economy
Dahlia;Mikaela;44479;3.26;3;86;dmikaela@du.edu.tr;DM44479;1;International Relations
Daina;Mike;44480;1.89;1;23;dmike@du.edu.tr;DM44480;2;Electrical and Electronics Engineering
Daine;Mikel;44481;2.38;4;127;dmikel@du.edu.tr;DM44481;3;Law
Daisey;Miki;44482;2.44;2;61;dmiki@du.edu.tr;DM44482;1;International Relations
Daisy;Mikki;44483;2.33;3;75;dmikki@du.edu.tr;DM44483;4;Archaeology and History of Art
Dakota;Mila;44484;1.32;1;13;dmila@du.edu.tr;DM44484;1;Business Administration
Dale;Milagro;44485;2.13;4;119;dmilagro@du.edu.tr;DM44485;1;Economy
Dalene;Milagros;44486;3.19;3;78;dmilagros@du.edu.tr;DM44486;0;Molecular Biology and Genetics
Dalia;Milan;44487;3.46;1;29;dmilan@du.edu.tr;DM44487;1;Business Administration
Dalila;Milda;44488;1.43;1;9;dmilda@du.edu.tr;DM44488;2;Mechanical Engineering
Dallas;Mildred;44489;3.38;3;93;dmildred@du.edu.tr;DM44489;1;Business Administration
Dalton;Miles;44490;1.82;2;70;dmiles@du.edu.tr;DM44490;0;Mathematics
Damaris;Milford;44491;2.7;3;91;dmilford@du.edu.tr;DM44491;4;Sociology
Damian;Milissa;44492;3.65;3;75;dmilissa@du.edu.tr;DM44492;1;International Relations
Damien;Millard;44493;1.33;3;87;dmillard@du.edu.tr;DM44493;2;Electrical and Electronics Engineering
Damion;Millicent;44494;2.68;3;96;dmillicent@du.edu.tr;DM44494;0;Physics
Damon;Millie;44495;2.09;4;119;dmillie@du.edu.tr;DM44495;2;Chemical and Biological Engineering 
Dan;Milly;44496;3.41;1;34;dmilly@du.edu.tr;DM44496;4;Philosophy
Dana;Milo;44497;3.48;3;102;dmilo@du.edu.tr;DM44497;0;Chemistry
Danae;Milton;44498;2.63;2;36;dmilton@du.edu.tr;DM44498;4;Psychology
Dane;Mimi;44499;3.77;1;33;dmimi@du.edu.tr;DM44499;1;International Relations
Danelle;Min;44500;3.51;2;52;dmin@du.edu.tr;DM44500;2;Industrial Engineering
Danette;Mina;44501;2.97;2;51;dmina@du.edu.tr;DM44501;2;Industrial Engineering
Dani;Minda;44502;3.71;4;131;dminda@du.edu.tr;DM44502;2;Chemical and Biological Engineering 
Dania;Mindi;44503;2.92;3;80;dmindi@du.edu.tr;DM44503;0;Chemistry
Danial;Mindy;44504;2.33;1;33;dmindy@du.edu.tr;DM44504;3;Law
Danica;Minerva;44505;3.11;3;93;dminerva@du.edu.tr;DM44505;4;Archaeology and History of Art
Daniel;Ming;44506;3.08;3;88;dming@du.edu.tr;DM44506;0;Molecular Biology and Genetics
Daniela;Minh;44507;1.77;4;120;dminh@du.edu.tr;DM44507;3;Law
Daniele;Minna;44508;2.62;1;19;dminna@du.edu.tr;DM44508;1;Economy
Daniell;Minnie;44509;2.16;4;116;dminnie@du.edu.tr;DM44509;3;Law
Daniella;Minta;44510;1.57;2;54;dminta@du.edu.tr;DM44510;1;Business Administration
Danielle;Miquel;44511;2.25;2;41;dmiquel@du.edu.tr;DM44511;2;Computer Engineering
Danika;Mira;44512;3.45;4;106;dmira@du.edu.tr;DM44512;2;Mechanical Engineering
Danille;Miranda;44513;2.61;4;131;dmiranda@du.edu.tr;DM44513;3;Law
Danilo;Mireille;44514;2.06;2;45;dmireille@du.edu.tr;DM44514;1;International Relations
Danita;Mirella;44515;2.97;2;63;dmirella@du.edu.tr;DM44515;2;Electrical and Electronics Engineering
Dann;Mireya;44516;2.85;4;133;dmireya@du.edu.tr;DM44516;0;Molecular Biology and Genetics
Danna;Miriam;44517;2.47;4;125;dmiriam@du.edu.tr;DM44517;2;Mechanical Engineering
Dannette;Mirian;44518;1.95;2;42;dmirian@du.edu.tr;DM44518;0;Chemistry
Dannie;Mirna;44519;2.38;3;97;dmirna@du.edu.tr;DM44519;0;Chemistry
Dannielle;Mirta;44520;2.13;1;23;dmirta@du.edu.tr;DM44520;1;Economy
Danny;Mirtha;44521;3.96;4;121;dmirtha@du.edu.tr;DM44521;1;Business Administration
Dante;Misha;44522;1.43;4;138;dmisha@du.edu.tr;DM44522;3;Law
Danuta;Miss;44523;1.29;4;112;dmiss@du.edu.tr;DM44523;3;Law
Danyel;Missy;44524;3.61;4;135;dmissy@du.edu.tr;DM44524;3;Law
Danyell;Misti;44525;1.2;2;55;dmisti@du.edu.tr;DM44525;3;Law
Danyelle;Mistie;44526;3.11;4;125;dmistie@du.edu.tr;DM44526;0;Physics
Daphine;Misty;44527;2.73;2;45;dmisty@du.edu.tr;DM44527;0;Molecular Biology and Genetics
Daphne;Mitch;44528;3.86;4;110;dmitch@du.edu.tr;DM44528;0;Chemistry
Dara;Mitchel;44529;2.24;2;36;dmitchel@du.edu.tr;DM44529;2;Mechanical Engineering
Darby;Mitchell;44530;1.07;4;129;dmitchell@du.edu.tr;DM44530;0;Chemistry
Darcel;Mitsue;44531;3.63;4;139;dmitsue@du.edu.tr;DM44531;4;Sociology
Darcey;Mitsuko;44532;1.22;4;133;dmitsuko@du.edu.tr;DM44532;4;Philosophy
Darci;Mittie;44533;1.89;4;130;dmittie@du.edu.tr;DM44533;3;Law
Darcie;Mitzi;44534;1.39;3;75;dmitzi@du.edu.tr;DM44534;2;Computer Engineering
Darcy;Mitzie;44535;1.83;1;30;dmitzie@du.edu.tr;DM44535;4;Archaeology and History of Art
Darell;Miyoko;44536;1.84;1;1;dmiyoko@du.edu.tr;DM44536;3;Law
Daren;Modesta;44537;1.34;2;59;dmodesta@du.edu.tr;DM44537;2;Industrial Engineering
Daria;Modesto;44538;3.52;2;65;dmodesto@du.edu.tr;DM44538;4;Psychology
Darin;Mohamed;44539;3.81;2;55;dmohamed@du.edu.tr;DM44539;1;Business Administration
Dario;Mohammad;44540;1.08;2;56;dmohammad@du.edu.tr;DM44540;3;Law
Darius;Mohammed;44541;2.96;1;3;dmohammed@du.edu.tr;DM44541;1;Economy
Darla;Moira;44542;2.73;3;82;dmoira@du.edu.tr;DM44542;0;Mathematics
Darleen;Moises;44543;1.06;4;138;dmoises@du.edu.tr;DM44543;2;Computer Engineering
Darlena;Mollie;44544;1.6;1;19;dmollie@du.edu.tr;DM44544;0;Chemistry
Darlene;Molly;44545;1.33;2;65;dmolly@du.edu.tr;DM44545;3;Law
Darline;Mona;44546;1.87;1;7;dmona@du.edu.tr;DM44546;2;Electrical and Electronics Engineering
Darnell;Monet;44547;2.21;2;70;dmonet@du.edu.tr;DM44547;0;Physics
Daron;Monica;44548;3.34;1;22;dmonica@du.edu.tr;DM44548;1;Business Administration
Darrel;Monika;44549;2.76;4;131;dmonika@du.edu.tr;DM44549;1;International Relations
Darrell;Monique;44550;1.14;4;127;dmonique@du.edu.tr;DM44550;1;Business Administration
Darren;Monnie;44551;3.05;3;104;dmonnie@du.edu.tr;DM44551;2;Industrial Engineering
Darrick;Monroe;44552;3.55;3;93;dmonroe@du.edu.tr;DM44552;0;Molecular Biology and Genetics
Darrin;Monserrate;44553;2.74;4;106;dmonserrate@du.edu.tr;DM44553;2;Computer Engineering
